Title,Bookmark
Badlands NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Annual%20Park%20Recreation%20Visitation%20(1904%20-%20Last%20Calendar%20Year)

Year,RecreationVisitors,TotalRecreationVisitors
1939,"205,100","70,537,779"
1940,"181,993","70,537,779"
1941,"252,248","70,537,779"
1942,"86,256","70,537,779"
1943,"10,149","70,537,779"
1944,"10,349","70,537,779"
1945,"31,377","70,537,779"
1946,"230,403","70,537,779"
1947,"339,843","70,537,779"
1948,"384,133","70,537,779"
1949,"373,076","70,537,779"
1950,"447,654","70,537,779"
1951,"607,965","70,537,779"
1952,"580,902","70,537,779"
1953,"658,691","70,537,779"
1954,"665,000","70,537,779"
1955,"630,900","70,537,779"
1956,"663,200","70,537,779"
1957,"701,100","70,537,779"
1958,"810,800","70,537,779"
1959,"825,200","70,537,779"
1960,"878,600","70,537,779"
1961,"833,300","70,537,779"
1962,"1,044,800","70,537,779"
1963,"1,074,000","70,537,779"
1964,"1,079,800","70,537,779"
1965,"1,091,300","70,537,779"
1966,"1,094,800","70,537,779"
1967,"1,188,700","70,537,779"
1968,"1,194,600","70,537,779"
1969,"1,221,300","70,537,779"
1970,"1,303,100","70,537,779"
1971,"1,282,000","70,537,779"
1972,"1,274,600","70,537,779"
1973,"1,387,900","70,537,779"
1974,"1,205,300","70,537,779"
1975,"1,153,200","70,537,779"
1976,"1,210,100","70,537,779"
1977,"1,305,400","70,537,779"
1978,"1,234,915","70,537,779"
1979,"858,000","70,537,779"
1980,"952,652","70,537,779"
1981,"1,175,952","70,537,779"
1982,"1,030,484","70,537,779"
1983,"1,026,981","70,537,779"
1984,"1,113,675","70,537,779"
1985,"950,242","70,537,779"
1986,"1,025,630","70,537,779"
1987,"1,174,398","70,537,779"
1988,"1,110,040","70,537,779"
1989,"1,237,956","70,537,779"
1990,"1,326,475","70,537,779"
1991,"1,518,396","70,537,779"
1992,"1,205,297","70,537,779"
1993,"1,179,458","70,537,779"
1994,"1,130,459","70,537,779"
1995,"1,075,569","70,537,779"
1996,"1,024,705","70,537,779"
1997,"970,696","70,537,779"
1998,"1,021,049","70,537,779"
1999,"950,453","70,537,779"
2000,"1,105,824","70,537,779"
2001,"955,469","70,537,779"
2002,"908,898","70,537,779"
2003,"871,034","70,537,779"
2004,"936,030","70,537,779"
2005,"909,146","70,537,779"
2006,"840,118","70,537,779"
2007,"886,654","70,537,779"
2008,"845,734","70,537,779"
2009,"933,918","70,537,779"
2010,"977,778","70,537,779"
2011,"870,741","70,537,779"
2012,"883,406","70,537,779"
2013,"892,372","70,537,779"
2014,"868,094","70,537,779"
2015,"989,354","70,537,779"
2016,"996,263","70,537,779"
2017,"1,054,325","70,537,779"

